filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 3201 to 4000,14777,107657,13,White,France,"Mineral and flinty at the start, this young wine has an intense structure. Tannins and fruit skins give a strong, tight texture. At the same time, the acidity is just as intense, crisp and juicy, tight and needing many years to develop. Drink from 2018.",Montée de Tonnerre Premier Cru,39,95,0.41,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Jean-Paul et Benoît Droin 2013 Montée de Tonnerre Premier Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-jean-paul-benoit-droin-2013-montee-tonnerre-premier-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Jean-Paul et Benoît Droin
winemag 3201 to 4000,14778,107658,13,White,France,"Rich and open, this is a generous, full-throated wine. There is a good contrast between the ripeness and a line of acidity that gives a steely, textured backbone. The end combines the two characters, a ripe, full aftertaste cut with a touch of steel. Drink from 2017.",Mont de Milieu Premier Cru,42,95,0.44,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Pinson 2013 Mont de Milieu Premier Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-pinson-2013-mont-milieu-premier-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Pinson
winemag 3201 to 4000,14797,107677,13,White,France,"From ripe fruits, in the Pinson style, this is a rich, generous and concentrated wine. There is great fruitiness from the ripe apricot and pear flavors, cut with acidity to give an edge of freshness. Spice and fragrant acidity mark the finish.",Fourchaume Premier Cru,42,95,0.44,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Pinson 2013 Fourchaume Premier Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-pinson-2013-fourchaume-premier-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Pinson
winemag 3201 to 4000,14806,107686,13,White,France,"This rich, generous and soft wine has a ripe feel along with plenty of acidity. The freshness is cushioned by ripe yellow and pear fruit flavors. It has power as well as minerality, and a touch of toast comes through at the end. Drink from 2018.",Grenouilles Grand Cru,69,95,0.73,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Jean-Paul et Benoît Droin 2013 Grenouilles Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-jean-paul-benoit-droin-2013-grenouilles-grand-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Jean-Paul et Benoît Droin
winemag 3201 to 4000,2627,95507,13,White,France,This is slowly developing into a beautiful wine. It dazzles with its combination of fresh acidity and generously ripe yellow-fruit flavors. The texture and structure give a steely edge to this impressive wine. Drink from 2020.,Les Clos Grand Cru,70,95,0.74,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Louis Moreau 2012 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-louis-moreau-2012-les-clos-grand-cru-chablis/,Chardonnay,2012,Domaine Louis Moreau
winemag 6401 to 7200,3246,158383,,White,France,"This is taut and mineral, with hidden power. It's very closed at this stage. It's a wine with acidity and notes of green fruits and crisp apples, with just a touch of wood. This will age for many years.",Les Clos Grand Cru,70,95,0.74,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Jean-Paul et Benoît Droin 2010 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-jean-paul-benoit-droin-2010-clos-grand-cru-chardonnay-chablis/,Chardonnay,2010,Domaine Jean-Paul et Benoît Droin
winemag 8001 to 8800,4250,190655,13,White,France,"In the tight mineral side of Chablis, a wine with a terrific density of texture. The flavors are in the lemon grass, citrus line, a pure shaft of steel going through the fruit. Taut, tense, very vivid.",Les Preuses Grand Cru,74,95,0.78,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2008 Les Preuses Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2008-preuses-grand-cru-chardonnay-chablis/,Chardonnay,2008,William Févre
winemag 8001 to 8800,4409,190814,13,White,France,"Big and rich, this opulent and ripe-fruited wine is packed with peach and pineapple flavors along with a more severe grapefruit edge. It has great density of flavor, the acidity bringing out so much delicious juicy fruit.",Côte Bougerots Bougros Grand Cru,74,95,0.78,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2008 Côte Bougerots Bougros Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2008-cote-bougerots-bougros-grand-cru-chardonnay-chablis/,Chardonnay,2008,William Févre
winemag 8001 to 8800,4249,190654,,White,France,"An opulent, weighty wine, packed with lemon fruits, wood caramel sweetness and a delicious tasty character. It is lip-smacking in its ripeness and freshness, the final flavor bringing together acidity and a creamy texture.",Le Cailleret Premier Cru,75,95,0.79,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Puligny-Montrachet,"46.9450920, 4.7532960",46.945092,4.753296,Domaine Michel Bouzereau 2008 Le Cailleret Premier Cru  (Puligny-Montrachet),https://www.winemag.com/buying-guide/domaine-michel-bouzereau-2008-le-cailleret-premier-cru-chardonnay-puligny-montrachet/,Chardonnay,2008,Domaine Michel Bouzereau
winemag 9601 to 10400,8120,240776,,White,France,"There is much concentration and freshness here, along with much power and intense minerality. The wine is very rich with butter, ripe fruit and layers of considerable acidity. Wait 6 years at least.",Les Preuses Grand Cru,76,95,0.8,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Vincent Dauvissat 2005 Les Preuses Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-vincent-dauvissat-2005-preuses-grand-cru-chardonnay-chablis/,Chardonnay,2005,Domaine Vincent Dauvissat
