filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 12001 to 12800,1371,48062,12,Red,France,"Mushroom and plum aromas followed by coffee and black plum flavors. Hot, heavy and over the top.",,8,80,0.1,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Comte Saint Martin 2000  Bordeaux,https://www.winemag.com/buying-guide/chateau-comte-saint-martin-2000-red-bordeaux/,Bordeaux-style Red Blend,2000,Château Comte Saint Martin
winemag 6401 to 7200,440,155577,,Red,France,This very ripe wine tastes of supermature grapes; it' s soft and formless.,,20,80,0.25,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux Supérieur,"44.8377890, -0.5791800",44.837789,-0.57918,Château Timberlay 2009  Bordeaux Supérieur,https://www.winemag.com/buying-guide/chateau-timberlay-2009-red-superieur/,Bordeaux-style Red Blend,2009,Château Timberlay
winemag 6401 to 7200,444,155581,,Red,France,"Lean and rather dry, this has old wood and lean fruit flavors.",Hyppos,25,80,0.3125,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux Supérieur,"44.8377890, -0.5791800",44.837789,-0.57918,Château Majoureau 2009 Hyppos  (Bordeaux Supérieur),https://www.winemag.com/buying-guide/chateau-majoureau-2009-hyppos-red-superieur/,Bordeaux-style Red Blend,2009,Château Majoureau
winemag 8001 to 8800,11426,197831,12,Red,France,"The problem with this wine is the wood. There is too much of it, and the toasting is too high, giving a burnt character to the wine. For a 2005, this should be better integrated, and is likely to just dry out.",,29,80,0.3625,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Graves,"44.6314040, -0.3379960",44.631404,-0.337996,Château Tour de Calens 2005  Graves,https://www.winemag.com/buying-guide/chateau-tour-calens-2005-red-graves/,Bordeaux-style Red Blend,2005,Château Tour de Calens
winemag 11201 to 12000,12657,43606,12.5,Red,France,"Earthy, with little fruit. The flavors are thin and much like strawberry infused tea. Acidic and dry. Barely acceptable.",Réserve,14,80,0.175,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Médoc,"44.5568620, -0.0384180",44.556862,-0.038418,Mouton-Cadet 1999 Réserve  (Médoc),https://www.winemag.com/buying-guide/mouton-cadet-1999-reserve-red-medoc/,Bordeaux-style Red Blend,1999,Mouton-Cadet
winemag 12001 to 12800,12800,59491,12.5,Red,France,"Remember that old TV commercial asking, ""Where's the beef?"" You can apply that here. It smells fresh enough, and there's cranberry-styled tart fruit backed up by oak. But it's way short on soul and stuffing. No need to hold this; drink it now for what fruit there is. Made from 75% Merlot.",,13,80,0.1625,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Premieres Cotes de Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château des Mille Anges 1996  Premieres Cotes de Bordeaux,https://www.winemag.com/buying-guide/chateau-mille-anges-1996-red-premieres-cotes/,Bordeaux-style Red Blend,1996,Château des Mille Anges
winemag 11201 to 12000,12650,43599,12.5,Red,France,"Husky and muddled, with less than precise plum and berry flavors. The flavor profile doesn't sing and the finish is lean, drying and even a touch bitter at its culmination.",Grand Vin de Bordeaux,20,80,0.25,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Estéphe,"45.2648099, -0.7717824",45.2648099,-0.7717824,La Croix Bonis 1998 Grand Vin de Bordeaux  (Saint-Estéphe),https://www.winemag.com/buying-guide/croix-bonis-1998-grand-vin-bordeaux-red-saint-estephe/,Bordeaux-style Red Blend,1998,La Croix Bonis
winemag 11201 to 12000,12659,43608,12.5,Red,France,"Green and underripe, with tobacco and rhubarb aromas. The flavors are too weedy and burnt for the wine to merit higher, and that's despite a perfectly good mouthfeel. Kosher.",,25,80,0.3125,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pomerol,"45.2106560, 2.7008169",45.210656,2.7008169,Château du Quint 1999  Pomerol,https://www.winemag.com/buying-guide/chateau-quint-1999-red-pomerol/,Red Blend,1999,Château du Quint
winemag 12001 to 12800,1370,48061,12,Red,France,"Horsey and heavy in the nose, with some cinnamon sweetness. The fruit is big and overstuffed, like plum pie. There's also a burnt flavor and potent acidity.",Roi Chevalier,15,80,0.1875,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,Barton & Guestier 2000 Roi Chevalier  (Saint-Émilion),https://www.winemag.com/buying-guide/barton-guestier-2000-roi-chevalier-red-saint-emilion/,Red Blend,2000,Barton & Guestier
winemag 5601 to 6400,11905,151376,,Red,France,"Aromas and flavors of rhubarb and red pepper dominate, resulting in a wine that is sharp and unbalanced.",,12,81,0.148148148,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Blaye Cotes de Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Dubraud 2010  Blaye Cotes de Bordeaux,https://www.winemag.com/buying-guide/chateau-dubraud-2010-red-blaye-cotes/,Bordeaux-style Red Blend,2010,Château Dubraud
winemag 12001 to 12800,11254,57945,,Red,France,"This is very light, in both flavor and body. The aromas are earthy, with a faint suggestion of blackberries, and the mouthfeel is thin. These aren't terrible flaws, but the wine just lacks substance.",,17,81,0.209876543,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Maine-Gazin 1997  Bordeaux,https://www.winemag.com/buying-guide/chateau-maine-gazin-1997-red-bordeaux/,Bordeaux-style Red Blend,1997,Château Maine-Gazin
winemag 12001 to 12800,11257,57948,,Red,France,"This is very light, in both flavor and body. The aromas are earthy, with a faint suggestion of blackberries, and the mouthfeel is thin. These aren't terrible flaws, but the wine just lacks substance.",,17,81,0.209876543,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Maine-Gazin 1997  Bordeaux,https://www.winemag.com/buying-guide/chateau-maine-gazin-1997-bordeaux-10767/,Bordeaux-style Red Blend,1997,Château Maine-Gazin
winemag 3201 to 4000,14829,107709,12,Red,France,"This wine has been too heavily extracted, giving a series of tough tannins and a hard edge without the fruit to balance things out. It is a blend of 50% Cabernet Sauvignon and 25/25 Merlot and Cabernet Franc.",La Vieille Cour de Seguin,9,81,0.111111111,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château de Seguin 2013 La Vieille Cour de Seguin  (Bordeaux),https://www.winemag.com/buying-guide/chateau-de-seguin-2013-vieille-cour-red-bordeaux/,Bordeaux-style Red Blend,2013,Château de Seguin
winemag 4001 to 4800,13897,122310,12.5,Red,France,"Meat and bacon aromas lead to a dry, tannic wine. It only hints at a fruity future.",,13,81,0.160493827,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Moulin de Mallet 2012  Bordeaux,https://www.winemag.com/buying-guide/chateau-moulin-mallet-2012-red-bordeaux/,Bordeaux-style Red Blend,2012,Château Moulin de Mallet
winemag 5601 to 6400,68,139539,,Red,France,This is an unfocused wine that has jammy fruit and soft tannins. It tastes overripe. Not for aging.,,13,81,0.160493827,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château de Lavagnac 2011  Bordeaux,https://www.winemag.com/buying-guide/chateau-lavagnac-2011-red-bordeaux/,Bordeaux-style Red Blend,2011,Château de Lavagnac
winemag 6401 to 7200,432,155569,,Red,France,"Meat and bacon aromas introduce a wine that is taut, structured and high on the acidity. It has a lean, slightly dirty taste, which is not attractive.",,16,81,0.197530864,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Tire Pé 2009  Bordeaux,https://www.winemag.com/buying-guide/chateau-tire-pe-2009-red-bordeaux/,Bordeaux-style Red Blend,2009,Château Tire Pé
winemag 9601 to 10400,5246,237902,12,Red,France,"A lean, rather attenuated wine. It has some pleasant red fruits, but is too dilute. Drink now, while the fruit is still fresh.",,10,81,0.12345679,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Caves Fleury 2005  Bordeaux,https://www.winemag.com/buying-guide/caves-fleury-2005-red-bordeaux/,Bordeaux-style Red Blend,2005,Caves Fleury
winemag 11201 to 12000,3032,33981,12.5,Red,France,,,13,81,0.160493827,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux Supérieur,"44.8377890, -0.5791800",44.837789,-0.57918,Château Ducla 2002  Bordeaux Supérieur,https://www.winemag.com/buying-guide/chateau-ducla-2002-red-superieur/,Bordeaux-style Red Blend,2002,Château Ducla
winemag 3201 to 4000,14832,107712,13,Red,France,"This wine has too much extraction to allow the fruit to develop. It will soften out, although not enough. It is an 80% Merlot and 20% Cabernet Sauvignon blend.",,18,81,0.222222222,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux Supérieur,"44.8377890, -0.5791800",44.837789,-0.57918,Château de Marsan 2013  Bordeaux Supérieur,https://www.winemag.com/buying-guide/chateau-marsan-2013-red-superieur/,Bordeaux-style Red Blend,2013,Château de Marsan
