id,alcohol,category,country,country_clean,description,designation,price,rating,region,region_clean,subregion,subsubregion,title,url,varietal,vintage,winery
51869,17.6,Red,Australia,Australia,"Pours as viscous as motor oil, and has the most beautiful amber sheen. Smells explosive and fantastic, with white chocolate, nougat, crème brûlée, anisette and Kahlúa, and turns classically rich in the mouth. The flavors are enormous, and very sweet, but what's most impressive is the texture—sheer velvet with perfect, bright acid. —S.H.",Museum Reserve,16,95,Victoria,Melbourne,Victoria,NULL,Benjamin NV Museum Reserve Muscat (Victoria),https://www.winemag.com/buying-guide/benjamin-nv-museum-reserve-muscat-victoria-21205/,Muscat,NULL,Benjamin
210147,13,Red,Austria,Austria,"A wave of ripe, juicy black cherry reaches the nose before hints of cinnamon follow, colored by a lovely floral perfume. The palate is pliable with a fruity, friendly flow, yet this shows depth and charm. The mouthfeel is soft and sinuous, the tannins are fine and have a gauze-like quality that might tip over into velvet any moment. If you need a wine to seduce someone, this might just be it. Simply lovely now but will get much better with age. Drink 2020–2035.",Ried Spitzerberg,26,95,Carnuntum,Vienna,NULL,NULL,Trapl 2015 Ried Spitzerberg Blaufränkisch (Carnuntum),https://www.winemag.com/buying-guide/trapl-2015-ried-spitzerberg-blaufrankisch-carnuntum/,Blaufränkisch,2015,Trapl
152,13.5,White,Austria,Austria,"Salt, pepper and lemon notes own the nose offer the promise of savoriness. The palate then wheels out all the salty concentration in full force. This tingles like lemon zest and has the texture of citrus pith. Concentration and savoriness are written all over it. This is compact, deeply savory and totally lip-smacking.",Ried Gaisberg,29,95,Kamptal,Kamptal,NULL,NULL,Eichinger 2017 Ried Gaisberg Grüner Veltliner (Kamptal),https://www.winemag.com/buying-guide/eichinger-2017-ried-gaisberg-gruner-veltliner-kamptal/,Grüner Veltliner,2017,Eichinger
77598,13,White,Austria,Austria,"Clouds of aromatic flower play along with zesty orange flavors. Grapefruit provides spice and drive. The palate shows that counterpoint of ripeness and tartness that makes this so very moreish. This is juicy and powerful, yet precise and toned despite all its generosity. This is a light, tightrope walk between two thrilling worlds. It's full of life and joy with an endless finish.",Gaisberg Reserve,29,95,Kamptal,Kamptal,NULL,NULL,Eichinger 2015 Gaisberg Reserve Riesling (Kamptal),https://www.winemag.com/buying-guide/eichinger-2015-gaisberg-reserve-riesling-kamptal/,Riesling,2015,Eichinger
210134,13,White,Austria,Austria,"This wine must have spent very little time in bottle; it still smells of the leesy, fermentative richness of the cellar. But never fear: this newborn is loaded with lemon concentration and uncompromising briskness. Electric freshness is its central purpose, and it will provide sophisticated refreshment for years to come. Drink 2020–2030 at least.",Pfaffenberg,20,95,Kremstal,Krems,NULL,NULL,Lesehof Stagård 2016 Pfaffenberg Riesling (Kremstal),https://www.winemag.com/buying-guide/lesehof-stagard-2016-pfaffenberg-riesling-kremstal/,Riesling,2016,Lesehof Stagård
66127,11,Dessert,Austria,Austria,"Apple and passion fruit are the aromatic top notes, hovering above a nose of honey and musk. Notes of honey, caramel and maple syrup seem to unite on the palate, guided and framed by the sharpest, most luminous acidity. Extremes are at work here, revealing both utter sweetness and utter acidity. Dazzling all of the senses, this wine leaves a rich aftertaste.",Noble Reserve Trockenbeerenauslese,25,95,Burgenland,Burgenland,NULL,NULL,Kracher NV Noble Reserve Trockenbeerenauslese White (Burgenland),https://www.winemag.com/buying-guide/kracher-nv-noble-reserve-trockenbeerenauslese-white-burgenland/,Austrian white blend,NULL,Kracher
6027,11.5,Dessert,Austria,Austria,"Notions of honeyed, candied richness reach the nose, spiked with a vivid dollop of citrus sharpness. This sweet Spätlese promises thrill and delivers it with notions of apple jelly, tart passion fruit and tropical hints of candied pineapple. Sharp acid counters the richness in the most delicious fashion. Follow the suggestions on the label and pair this with Szechuan pepper and red hot chilies to achieve Asian magic. Fruity, tropical desserts will also be elevated by this sexy and sharp little number.",Spätlese,25,95,Burgenland,Burgenland,NULL,NULL,Heidi Schröck 2016 Spätlese White (Burgenland),https://www.winemag.com/buying-guide/heidi-schrock-2016-spatlese-white-burgenland/,Austrian white blend,2016,Heidi Schröck
0,10,Dessert,Austria,Austria,"Lime blossom tea, candied apple and an alluring edge of smoke lend extra dimensions to the nose. The palate brings forth the full force of luscious, concentrated botrytis with its generous sweetness and bundled force of balancing, spicy freshness. This possesses wonderful balance and leaves lasting, lemon-flavored sweetness.",Beerenauslese,25,95,Burgenland,Burgenland,NULL,NULL,Gunter Triebaumer 2015 Beerenauslese Chardonnay (Burgenland),https://www.winemag.com/buying-guide/gunter-triebaumer-2015-beerenauslese-chardonnay-burgenland/,Chardonnay,2015,Gunter Triebaumer
6034,12,Dessert,Austria,Austria,"Immense concentration rises headily from the glass, projecting musk, lemon and crushed banana peel. The twin forces of sweetness and acidity then attack the palate with undiminished vigor, unraveling their power play across the tongue with notions of Mirabelle plum jam and candied lemon. Precision and vigor imbue this with longevity. Drink until 2040, at least.",Trockenbeerenauslese,29,95,Burgenland,Burgenland,NULL,NULL,Rosenhof 2015 Trockenbeerenauslese Welschriesling (Burgenland),https://www.winemag.com/buying-guide/rosenhof-2015-trockenbeerenauslese-welschriesling-burgenland/,Welschriesling,2015,Rosenhof
82887,11,Dessert,Austria,Austria,"The fragrant, absolute varietal purity of green pear and grapefruit zest attains an additional thrill of orange-peel lift. The palate is sweet but not overwhelmingly so: all is balanced and countered by freshness and a light touch. This richness dances on ballerina's tiptoe. That aromatic streak of citrus freshness unites grapefruit and greengage, honey and lime. This is utter purity of fruit in an Eiswein of immense, irresistible charm with moreish, lemon-pure length.",Orion Eiswein,30,95,Burgenland,Burgenland,NULL,NULL,Rosenhof 2015 Orion Eiswein Grüner Veltliner (Burgenland),https://www.winemag.com/buying-guide/rosenhof-2015-orion-eiswein-gruner-veltliner-burgenland/,Grüner Veltliner,2015,Rosenhof
